,Year,Airport,Cause,Delays (%)
459,2003,EWR,Extreme Weather Delay,1.0010299352931955
460,2003,FLL,Extreme Weather Delay,0.4958696849366685
461,2003,IAD,Extreme Weather Delay,0.77368350752997
462,2003,IAH,Extreme Weather Delay,0.5629628965443034
463,2003,JFK,Extreme Weather Delay,0.5431398293163275
464,2003,LAS,Extreme Weather Delay,0.49830508474576307
465,2003,LAX,Extreme Weather Delay,0.614474821452941
466,2003,LGA,Extreme Weather Delay,0.9645381140509652
467,2003,MCO,Extreme Weather Delay,0.5211140895237393
468,2003,MDW,Extreme Weather Delay,0.6687890625
469,2003,MIA,Extreme Weather Delay,0.8862921348314605
470,2003,MSP,Extreme Weather Delay,0.719758491631947
471,2003,ORD,Extreme Weather Delay,0.5718561082181122
472,2003,PDX,Extreme Weather Delay,0.45810307544449774
473,2003,PHL,Extreme Weather Delay,0.7056517990123071
474,2003,PHX,Extreme Weather Delay,0.3343965867533523
475,2003,SAN,Extreme Weather Delay,0.5492751857717139
476,2003,SEA,Extreme Weather Delay,0.4497171245435596
477,2003,SFO,Extreme Weather Delay,0.5978497587870436
478,2003,SLC,Extreme Weather Delay,0.828020875150542
479,2003,TPA,Extreme Weather Delay,0.5321318041143274
480,2004,ATL,Extreme Weather Delay,1.39192400758773
481,2004,BOS,Extreme Weather Delay,0.7902104770107126
482,2004,BWI,Extreme Weather Delay,0.7136149349424853
483,2004,CLT,Extreme Weather Delay,0.4520465228619734
484,2004,DAL,Extreme Weather Delay,0.5417017878532452
485,2004,DCA,Extreme Weather Delay,1.0858856928598213
486,2004,DEN,Extreme Weather Delay,0.690390587750158
487,2004,DFW,Extreme Weather Delay,1.1760149060234517
488,2004,DTW,Extreme Weather Delay,0.8592994304034923
489,2004,EWR,Extreme Weather Delay,0.8809513270139178
490,2004,FLL,Extreme Weather Delay,0.7227718306471016
491,2004,IAD,Extreme Weather Delay,0.4392928669306872
492,2004,IAH,Extreme Weather Delay,0.6493646583801758
493,2004,JFK,Extreme Weather Delay,1.0761572758665912
494,2004,LAS,Extreme Weather Delay,0.6047787957535864
495,2004,LAX,Extreme Weather Delay,0.5720313493632161
496,2004,LGA,Extreme Weather Delay,1.4337140662114591
497,2004,MCO,Extreme Weather Delay,0.790792824765775
498,2004,MDW,Extreme Weather Delay,0.7053667789514994
499,2004,MIA,Extreme Weather Delay,1.0009960922534669
500,2004,MSP,Extreme Weather Delay,0.749727787456446
501,2004,ORD,Extreme Weather Delay,0.6020743954110246
502,2004,PDX,Extreme Weather Delay,0.5536612883007109
503,2004,PHL,Extreme Weather Delay,0.7404624040080491
504,2004,PHX,Extreme Weather Delay,0.4776721727484198
505,2004,SAN,Extreme Weather Delay,0.5122617069968983
